Conditional       Probability       Entropy           
===========       ===========       =======           
AA                0,06566           0,25797           
AB                0,00614           0,04511           
AC                0,00667           0,04821           
AD                0,00925           0,0625            
AE                0,02047           0,11484           
AF                0,00315           0,02618           
AG                0,00248           0,02147           
AH                0,0068            0,04896           
AI                0,00616           0,04523           
AJ                9E-05             0,00121           
AK                0,00063           0,0067            
AL                0,00264           0,02261           
AM                0,00156           0,01455           
AN                0,00405           0,03219           
AO                0,00397           0,03167           
AP                0,00084           0,00858           
AQ                4E-05             0,00058           
AR                0,00255           0,02197           
AS                0,00276           0,02346           
AT                0,00375           0,03022           
AU                0,00106           0,01047           
AV                0,00033           0,00382           
AW                0,00092           0,00928           
AX                4E-05             0,00058           
AY                0,00057           0,00614           
AZ                3E-05             0,00045           
A-                0,00688           0,04942           
BA                0,00045           0,005             
BB                8E-05             0,00109           
BC                0,00014           0,00179           
BD                0,00025           0,00299           
BE                0,00069           0,00725           
BF                0,00013           0,00168           
BG                0,00011           0,00145           
BH                0,00036           0,00412           
BI                0,00036           0,00412           
BJ                1E-05             0,00017           
BK                4E-05             0,00058           
BL                0,0002            0,00246           
BM                0,00013           0,00168           
BN                0,00036           0,00412           
BO                0,00037           0,00422           
BP                8E-05             0,00109           
BQ                0                 NaN               
BR                0,00028           0,0033            
BS                0,00032           0,00372           
BT                0,00046           0,0051            
BU                0,00013           0,00168           
BV                4E-05             0,00058           
BW                0,00013           0,00168           
BX                1E-05             0,00017           
BY                8E-05             0,00109           
BZ                0                 NaN               
B-                0,00109           0,01073           
CA                0,00062           0,00661           
CB                0,00011           0,00145           
CC                0,00019           0,00235           
CD                0,00034           0,00392           
CE                0,00093           0,00937           
CF                0,00017           0,00213           
CG                0,00015           0,00191           
CH                0,00048           0,00529           
CI                0,00049           0,00539           
CJ                1E-05             0,00017           
CK                6E-05             0,00084           
CL                0,00027           0,0032            
CM                0,00017           0,00213           
CN                0,00048           0,00529           
CO                0,0005            0,00548           
CP                0,00011           0,00145           
CQ                1E-05             0,00017           
CR                0,00037           0,00422           
CS                0,00042           0,00471           
CT                0,0006            0,00642           
CU                0,00018           0,00224           
CV                6E-05             0,00084           
CW                0,00017           0,00213           
CX                1E-05             0,00017           
CY                0,00011           0,00145           
CZ                1E-05             0,00017           
C-                0,00141           0,01335           
DA                0,00091           0,00919           
DB                0,00017           0,00213           
DC                0,00027           0,0032            
DD                0,00049           0,00539           
DE                0,00134           0,01279           
DF                0,00024           0,00289           
DG                0,00022           0,00267           
DH                0,00068           0,00716           
DI                0,00069           0,00725           
DJ                1E-05             0,00017           
DK                8E-05             0,00109           
DL                0,00038           0,00432           
DM                0,00024           0,00289           
DN                0,00066           0,00697           
DO                0,00069           0,00725           
DP                0,00015           0,00191           
DQ                1E-05             0,00017           
DR                0,00051           0,00558           
DS                0,00058           0,00624           
DT                0,00082           0,00841           
DU                0,00024           0,00289           
DV                8E-05             0,00109           
DW                0,00022           0,00267           
DX                1E-05             0,00017           
DY                0,00015           0,00191           
DZ                1E-05             0,00017           
D-                0,00189           0,0171            
EA                0,00179           0,01634           
EB                0,00033           0,00382           
EC                0,00052           0,00567           
ED                0,00093           0,00937           
EE                0,00252           0,02175           
EF                0,00045           0,005             
EG                0,00041           0,00461           
EH                0,00125           0,01205           
EI                0,00124           0,01197           
EJ                2E-05             0,00031           
EK                0,00015           0,00191           
EL                0,00067           0,00706           
EM                0,00042           0,00471           
EN                0,00114           0,01115           
EO                0,00118           0,01148           
EP                0,00026           0,0031            
EQ                1E-05             0,00017           
ER                0,00086           0,00876           
ES                0,00096           0,00962           
ET                0,00135           0,01287           
EU                0,00039           0,00442           
EV                0,00013           0,00168           
EW                0,00036           0,00412           
EX                2E-05             0,00031           
EY                0,00023           0,00278           
EZ                1E-05             0,00017           
E-                0,00297           0,02493           
FA                0,00019           0,00235           
FB                4E-05             0,00058           
FC                6E-05             0,00084           
FD                0,00011           0,00145           
FE                0,0003            0,00351           
FF                5E-05             0,00071           
FG                5E-05             0,00071           
FH                0,00016           0,00202           
FI                0,00016           0,00202           
FJ                0                 NaN               
FK                2E-05             0,00031           
FL                9E-05             0,00121           
FM                6E-05             0,00084           
FN                0,00016           0,00202           
FO                0,00017           0,00213           
FP                4E-05             0,00058           
FQ                0                 NaN               
FR                0,00013           0,00168           
FS                0,00015           0,00191           
FT                0,00021           0,00257           
FU                6E-05             0,00084           
FV                2E-05             0,00031           
FW                6E-05             0,00084           
FX                0                 NaN               
FY                4E-05             0,00058           
FZ                0                 NaN               
F-                0,00051           0,00558           
GA                0,00016           0,00202           
GB                3E-05             0,00045           
GC                5E-05             0,00071           
GD                9E-05             0,00121           
GE                0,00025           0,00299           
GF                5E-05             0,00071           
GG                4E-05             0,00058           
GH                0,00013           0,00168           
GI                0,00014           0,00179           
GJ                0                 NaN               
GK                2E-05             0,00031           
GL                8E-05             0,00109           
GM                5E-05             0,00071           
GN                0,00014           0,00179           
GO                0,00014           0,00179           
GP                3E-05             0,00045           
GQ                0                 NaN               
GR                0,00011           0,00145           
GS                0,00013           0,00168           
GT                0,00018           0,00224           
GU                5E-05             0,00071           
GV                2E-05             0,00031           
GW                5E-05             0,00071           
GX                0                 NaN               
GY                3E-05             0,00045           
GZ                0                 NaN               
G-                0,00044           0,00491           
HA                0,00048           0,00529           
HB                9E-05             0,00121           
HC                0,00014           0,00179           
HD                0,00026           0,0031            
HE                0,00073           0,00761           
HF                0,00013           0,00168           
HG                0,00012           0,00156           
HH                0,00038           0,00432           
HI                0,00038           0,00432           
HJ                1E-05             0,00017           
HK                5E-05             0,00071           
HL                0,00021           0,00257           
HM                0,00014           0,00179           
HN                0,00038           0,00432           
HO                0,00039           0,00442           
HP                9E-05             0,00121           
HQ                0                 NaN               
HR                0,0003            0,00351           
HS                0,00034           0,00392           
HT                0,00048           0,00529           
HU                0,00014           0,00179           
HV                5E-05             0,00071           
HW                0,00013           0,00168           
HX                1E-05             0,00017           
HY                9E-05             0,00121           
HZ                1E-05             0,00017           
H-                0,00114           0,01115           
IA                0,00041           0,00461           
IB                8E-05             0,00109           
IC                0,00012           0,00156           
ID                0,00023           0,00278           
IE                0,00062           0,00661           
IF                0,00011           0,00145           
IG                0,0001            0,00133           
IH                0,00032           0,00372           
II                0,00033           0,00382           
IJ                1E-05             0,00017           
IK                4E-05             0,00058           
IL                0,00018           0,00224           
IM                0,00012           0,00156           
IN                0,00033           0,00382           
IO                0,00034           0,00392           
IP                8E-05             0,00109           
IQ                0                 NaN               
IR                0,00026           0,0031            
IS                0,00029           0,00341           
IT                0,00042           0,00471           
IU                0,00012           0,00156           
IV                4E-05             0,00058           
IW                0,00012           0,00156           
IX                1E-05             0,00017           
IY                8E-05             0,00109           
IZ                0                 NaN               
I-                0,001             0,00997           
JA                1E-05             0,00017           
JB                0                 NaN               
JC                0                 NaN               
JD                0                 NaN               
JE                1E-05             0,00017           
JF                0                 NaN               
JG                0                 NaN               
JH                0                 NaN               
JI                0                 NaN               
JJ                0                 NaN               
JK                0                 NaN               
JL                0                 NaN               
JM                0                 NaN               
JN                0                 NaN               
JO                1E-05             0,00017           
JP                0                 NaN               
JQ                0                 NaN               
JR                0                 NaN               
JS                0                 NaN               
JT                1E-05             0,00017           
JU                0                 NaN               
JV                0                 NaN               
JW                0                 NaN               
JX                0                 NaN               
JY                0                 NaN               
JZ                0                 NaN               
J-                2E-05             0,00031           
KA                4E-05             0,00058           
KB                1E-05             0,00017           
KC                1E-05             0,00017           
KD                2E-05             0,00031           
KE                7E-05             0,00097           
KF                1E-05             0,00017           
KG                1E-05             0,00017           
KH                4E-05             0,00058           
KI                4E-05             0,00058           
KJ                0                 NaN               
KK                0                 NaN               
KL                2E-05             0,00031           
KM                1E-05             0,00017           
KN                4E-05             0,00058           
KO                4E-05             0,00058           
KP                1E-05             0,00017           
KQ                0                 NaN               
KR                3E-05             0,00045           
KS                3E-05             0,00045           
KT                5E-05             0,00071           
KU                1E-05             0,00017           
KV                0                 NaN               
KW                1E-05             0,00017           
KX                0                 NaN               
KY                1E-05             0,00017           
KZ                0                 NaN               
K-                0,00012           0,00156           
LA                0,0002            0,00246           
LB                4E-05             0,00058           
LC                6E-05             0,00084           
LD                0,00011           0,00145           
LE                0,0003            0,00351           
LF                6E-05             0,00084           
LG                5E-05             0,00071           
LH                0,00016           0,00202           
LI                0,00016           0,00202           
LJ                0                 NaN               
LK                2E-05             0,00031           
LL                9E-05             0,00121           
LM                6E-05             0,00084           
LN                0,00016           0,00202           
LO                0,00017           0,00213           
LP                4E-05             0,00058           
LQ                0                 NaN               
LR                0,00013           0,00168           
LS                0,00015           0,00191           
LT                0,00021           0,00257           
LU                6E-05             0,00084           
