Monogram       Frequency      Probability    Entropy        
========       =========      ===========    =======        
A              6566           0,06566        0,25797        
B              1229           0,01229        0,078          
C              2002           0,02002        0,11296        
D              3698           0,03698        0,17592        
E              10234          0,10234        0,33655        
F              1889           0,01889        0,10817        
G              1737           0,01737        0,10157        
H              5436           0,05436        0,22838        
I              5544           0,05544        0,23135        
J              89             0,00089        0,00902        
K              692            0,00692        0,04965        
L              3170           0,0317         0,15785        
M              2034           0,02034        0,1143         
N              5677           0,05677        0,23496        
O              5957           0,05957        0,24241        
P              1352           0,01352        0,08394        
Q              73             0,00073        0,00761        
R              4598           0,04598        0,20428        
S              5240           0,0524         0,22292        
T              7506           0,07506        0,28041        
U              2226           0,02226        0,12219        
V              736            0,00736        0,05215        
W              2121           0,02121        0,11791        
X              106            0,00106        0,01047        
Y              1421           0,01421        0,08721        
Z              82             0,00082        0,00841        
-              18585          0,18585        0,4512         
Total:         100000         1              4,08776        
