Diagram        Frequency      Probability    Entropy        
=======        =========      ===========    =======        
AA             0              0,00427        0              
AB             163            0,0008         0,00823        
AC             344            0,0013         0,01246        
AD             442            0,00242        0,02103        
AE             0              0,00669        0              
AF             47             0,00121        0,01173        
AG             154            0,00115        0,01123        
AH             8              0,00352        0,02869        
AI             335            0,00364        0,02949        
AJ             1              6E-05          0,00084        
AK             82             0,00046        0,0051         
AL             564            0,0021         0,01868        
AM             183            0,00132        0,01263        
AN             1422           0,00372        0,03002        
AO             3              0,00391        0,03127        
AP             109            0,00088        0,00893        
AQ             2              5E-05          0,00071        
AR             643            0,00301        0,02521        
AS             860            0,0034         0,02788        
AT             938            0,00487        0,03741        
AU             63             0,00146        0,01375        
AV             106            0,00048        0,00529        
AW             91             0,0014         0,01327        
AX             3              7E-05          0,00097        
AY             194            0,00095        0,00954        
AZ             35             5E-05          0,00071        
A-             615            0,01216        0,07736        
BA             145            0,0008         0,00823        
BB             15             0,00015        0,00191        
BC             0              0,00024        0              
BD             1              0,00045        0,005          
BE             374            0,00125        0,01205        
BF             0              0,00023        0              
BG             0              0,00021        0              
BH             0              0,00066        0              
BI             58             0,00068        0,00716        
BJ             8              1E-05          0,00017        
BK             0              9E-05          0              
BL             179            0,00039        0,00442        
BM             3              0,00025        0,00299        
BN             3              0,00069        0,00725        
BO             178            0,00073        0,00761        
BP             0              0,00016        0              
BQ             0              1E-05          0              
BR             100            0,00056        0,00605        
BS             19             0,00063        0,0067         
BT             4              0,00091        0,00919        
BU             182            0,00027        0,0032         
BV             4              9E-05          0,00121        
BW             0              0,00026        0              
BX             0              1E-05          0              
BY             97             0,00018        0,00224        
BZ             0              1E-05          0              
B-             11             0,00227        0,01994        
CA             255            0,0013         0,01246        
CB             0              0,00024        0              
CC             44             0,0004         0,00452        
CD             0              0,00074        0              
CE             401            0,00204        0,01823        
CF             0              0,00037        0              
CG             0              0,00035        0              
CH             323            0,00107        0,01056        
CI             149            0,00111        0,01089        
CJ             0              2E-05          0              
CK             181            0,00014        0,00179        
CL             72             0,00064        0,00679        
CM             0              0,0004         0              
CN             0              0,00114        0              
CO             427            0,00119        0,01156        
CP             0              0,00027        0              
CQ             3              1E-05          0,00017        
CR             118            0,00092        0,00928        
CS             3              0,00104        0,01031        
CT             147            0,00149        0,01399        
CU             80             0,00045        0,005          
CV             0              0,00015        0              
CW             0              0,00043        0              
CX             0              2E-05          0              
CY             4              0,00029        0,00341        
CZ             0              2E-05          0              
C-             53             0,00371        0,02996        
DA             128            0,00242        0,02103        
DB             5              0,00045        0,005          
DC             0              0,00074        0              
DD             48             0,00138        0,01311        
DE             413            0,00379        0,03049        
DF             3              0,00069        0,00725        
DG             20             0,00065        0,00688        
DH             3              0,002          0,01793        
DI             292            0,00206        0,01838        
DJ             1              3E-05          0,00045        
DK             0              0,00026        0              
DL             35             0,00119        0,01156        
DM             11             0,00075        0,00779        
DN             21             0,00211        0,01875        
DO             208            0,00222        0,01957        
DP             0              0,0005         0              
DQ             0              3E-05          0              
DR             98             0,00171        0,01572        
DS             64             0,00193        0,0174         
DT             3              0,00277        0,02353        
DU             47             0,00083        0,00849        
DV             6              0,00027        0,0032         
DW             9              0,00079        0,00814        
DX             0              4E-05          0              
DY             48             0,00054        0,00586        
DZ             0              3E-05          0              
D-             2740           0,0069         0,04954        
EA             535            0,00669        0,04833        
EB             7              0,00125        0,01205        
EC             202            0,00204        0,01823        
ED             1118           0,00379        0,03049        
EE             340            0,01046        0,06882        
EF             87             0,0019         0,01718        
EG             79             0,0018         0,01641        
EH             19             0,00551        0,04135        
EI             108            0,00569        0,04243        
EJ             0              9E-05          0              
EK             16             0,00071        0,00743        
EL             366            0,00329        0,02713        
EM             235            0,00207        0,01846        
EN             962            0,00583        0,04327        
EO             60             0,00612        0,045          
EP             96             0,00137        0,01303        
EQ             8              7E-05          0,00097        
ER             1542           0,00471        0,03641        
ES             735            0,00533        0,04025        
ET             291            0,00763        0,05367        
EU             9              0,00229        0,02008        
EV             235            0,00075        0,00779        
EW             100            0,00219        0,01935        
EX             100            0,00011        0,00145        
EY             147            0,00149        0,01399        
EZ             3              8E-05          0,00109        
E-             4193           0,01903        0,10877        
FA             157            0,00121        0,01173        
FB             1              0,00023        0,00278        
FC             2              0,00037        0,00422        
FD             0              0,00069        0              
FE             138            0,0019         0,01718        
FF             82             0,00034        0,00392        
FG             0              0,00033        0              
FH             0              0,001          0              
FI             161            0,00103        0,01022        
FJ             0              2E-05          0              
FK             0              0,00013        0              
FL             62             0,0006         0,00642        
FM             0              0,00038        0              
FN             0              0,00106        0              
FO             291            0,00111        0,01089        
FP             3              0,00025        0,00299        
FQ             0              1E-05          0              
FR             166            0,00085        0,00867        
FS             7              0,00097        0,00971        
FT             83             0,00138        0,01311        
FU             94             0,00041        0,00461        
FV             0              0,00014        0              
FW             0              0,0004         0              
FX             0              2E-05          0              
FY             8              0,00027        0,0032         
FZ             0              1E-05          0              
F-             846            0,00345        0,02822        
GA             138            0,00115        0,01123        
GB             1              0,00021        0,00257        
GC             0              0,00035        0              
GD             1              0,00065        0,00688        
GE             219            0,0018         0,01641        
GF             1              0,00033        0,00382        
GG             37             0,00031        0,00361        
GH             267            0,00095        0,00954        
GI             103            0,00098        0,0098         
